,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
562,3493.2930491158363,3903.933299175961,774159.7174030424,56163.96544188867,187.7815009450444,154.33333330222487,0.5778493894654042,4,0.3101496912247391,0.024315894900603582,43181.46212683822,17900.535388096156,0.18000000000000002,False,1.6478774258005217e-05,-0.045900197166946335,0.0,SPP_study:main_route:descent
563,3498.2930491158363,3860.852390651399,775097.6360230462,56162.49054747988,187.35638892075076,154.33333330222487,0.5762342656520411,4,0.3101415465354908,0.024315701865220335,43181.119324316445,17967.80975823154,0.18,False,1.6461806744655157e-05,-0.045778633206503966,0.0,SPP_study:main_route:descent
564,3503.2930491158363,3817.9827708007915,776033.4365399458,56161.01163442055,186.93476463293118,154.33333330222487,0.574633243059159,4,0.31013337965437593,0.024315508310020002,43180.77559867582,18034.990116524834,0.18000000000000002,False,1.644500936898781e-05,-0.04565723514940906,0.0,SPP_study:main_route:descent
565,3508.2930491158363,3775.3229731896,776967.1363296947,56159.528706513374,186.51658698245967,154.33333330222487,0.5730461461737567,4,0.310125190602394,0.024315314235550424,43180.43095088916,18102.07520343803,0.18,False,1.6428377467884063e-05,-0.045536005268395706,0.0,SPP_study:main_route:descent
566,3513.2930491158363,3732.871546004238,777898.752563355,56158.0417678914,186.1018155136891,154.33333330222487,0.5714728023570678,4,0.3101169794023683,0.02431511964240274,43180.0853820063,18169.06380292448,0.17999999999999997,False,1.641190660161792e-05,-0.04541494575744388,0.0,SPP_study:main_route:descent
567,3518.2930491158363,3690.6270518813703,778828.3022103097,56156.550823000536,185.69041040215396,154.33333330222487,0.5699130417873011,4,0.3101087460788504,0.024314924531209113,43179.738893149806,18235.954741384434,0.18,False,1.6395592539915373e-05,-0.04529405873367703,0.0,SPP_study:main_route:descent
568,3523.2930491158363,3648.588067739326,779755.8020414122,56155.055876582956,185.28233244254938,154.33333330222487,0.5683666974037194,4,0.3101004906580274,0.024314728902640522,43179.39148551131,18302.74688663671,0.18,False,1.6379431249046656e-05,-0.045173346239230625,0.0,SPP_study:main_route:descent
569,3528.2930491158363,3606.7531846115976,780681.2686320774,56153.556933661464,184.87754303697784,154.33333330222487,0.5668336048520123,4,0.3100922131676366,0.02431453275740472,43179.043160347625,18369.43914690661,0.18,False,1.636341887986431e-05,-0.04505281024309013,0.0,SPP_study:main_route:descent
570,3533.2930491158363,3565.121007482382,781604.7183653126,56152.053999524716,184.47600418345763,154.33333330222487,0.5653136024309364,4,0.31008391363688265,0.024314336096244303,43178.69391897754,18436.030469830068,0.18,False,1.6347551756707768e-05,-0.044932452642899974,0.0,SPP_study:main_route:descent
571,3538.2930491158363,3523.690155124139,782526.167434692,56150.547079713244,184.077678464686,154.33333330222487,0.5638065310401846,4,0.31007559209636193,0.024314138919934874,43178.34376277835,18502.51984147396,0.18,False,1.6331826367102676e-05,-0.044812275266742044,0.0,SPP_study:main_route:descent
