,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
1380,22114.546179083143,2412.0433620713216,4913511.17651454,60342.41961446031,144.87097973699292,128.61111111111111,0.43779831830803,4,0.4859433557704658,0.030365879652453444,36978.01669180257,21617.84673884646,0.18,False,1.4962006598191169e-05,-0.025956888098289516,0.0,MTOW_mission:diversion:descent
1381,22119.546179083143,2393.2434742908536,4914235.287406233,60340.80238263259,144.73281955891682,128.61111111111111,0.4372827537305421,4,0.48593033204575536,0.030365284720898885,36977.29221455354,21653.577051959215,0.17999999999999997,False,1.4956050402222266e-05,-0.02589597780829412,0.0,MTOW_mission:diversion:descent
1382,22124.546179083143,2374.505579314834,4914958.708872412,60339.1831226837,144.59530760187377,128.61111111111111,0.43676972289806365,4,0.4859172919883886,0.030364689071783083,36976.566863495085,21689.23135243587,0.18,False,1.4950119213299067e-05,-0.02583519210421649,0.0,MTOW_mission:diversion:descent
1383,22129.546179083143,2355.8294193197376,4915681.444145911,60337.56183971188,144.45843971636668,128.61111111111111,0.43625920879765734,4,0.4859042356394219,0.03036409270708853,36975.840641041395,21724.809770724114,0.18,False,1.4944212835454245e-05,-0.025774530771400617,0.0,MTOW_mission:diversion:descent
1384,22134.546179083143,2337.2147380186816,4916403.496438874,60335.93853880677,144.32221178871373,128.61111111111111,0.43575119456908473,4,0.4858911630398428,0.030363495628794358,36975.11354960256,21760.31243784198,0.18,False,1.493833107573106e-05,-0.025713993594245824,0.0,MTOW_mission:diversion:descent
1385,22139.546179083143,2318.66128064948,4917124.86894293,60334.31322504923,144.18661974066254,128.61111111111111,0.4352456635031054,4,0.48587807423056784,0.030362897838876232,36974.38559158443,21795.739485353053,0.18,False,1.4932473744114339e-05,-0.025653580356248117,0.0,MTOW_mission:diversion:descent
1386,22144.546179083143,2300.1687939628046,4917845.564829377,60332.685903511236,144.05165952900958,128.61111111111111,0.4347425990397989,4,0.4858649692524423,0.030362299339306346,36973.656769388646,21831.09104534209,0.18,False,1.4926640653463459e-05,-0.025593290840041145,0.0,MTOW_mission:diversion:descent
1387,22149.546179083143,2281.737026210445,4918565.587249351,60331.0565792557,143.91732714522448,128.61111111111111,0.43424198476690923,4,0.4858518481462383,0.03036170013205329,36972.92708541245,21866.367250391195,0.18,False,1.492083161944728e-05,-0.02553312482743592,0.0,MTOW_mission:diversion:descent
1388,22154.546179083143,2263.3657271336724,4919284.939333998,60329.42525733634,143.7836186150786,128.61111111111111,0.43374380441820953,4,0.4858387109526535,0.030361100219082067,36972.19654204875,21901.56823355654,0.18,False,1.4915046460480935e-05,-0.025473082099459986,0.0,MTOW_mission:diversion:descent
1389,22159.546179083143,2245.054647951701,4920003.62419465,60327.791942797536,143.6505299982789,128.61111111111111,0.4332480418718894,4,0.48582555771231156,0.030360499602354044,36971.46514168594,21936.6941283455,0.18,False,1.4909284997664437e-05,-0.025413162436395482,0.0,MTOW_mission:diversion:descent
