,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,10.668,0.0,70856.37919784334,79.3,79.2593976814894,0.23306096703307572,1,1.4835783350999485,0.12334527621416992,57771.23751688523,193632.59846733874,1.0,False,1.2440724656576329e-05,0.19552231435873393,0.0,SPP_design:main_route
1,0.2,13.74926373135041,15.557808773020207,70855.89741187493,79.31173295459993,79.2593976814894,0.23310355309323103,1,1.4835682475505567,0.12334386657018002,57770.577281809725,193580.09772190603,1.0,False,1.2441431510239268e-05,0.19544903801657884,0.0,SPP_design:main_route:initial_climb
2,0.4,16.82984315959467,31.11814520115534,70855.41572916943,79.32346585457698,79.2593976814894,0.23314614043543805,1,1.4835581621632652,0.12334245724444032,57769.917195793096,193527.61919136764,1.0,False,1.244213817871503e-05,0.19537579214925616,0.0,SPP_design:main_route:initial_climb
3,0.6000000000000001,19.90973840299512,46.681009163067,70854.93414969355,79.33519869941362,79.2593976814894,0.23318872905763005,1,1.483548078937377,0.12334104823684305,57769.25725878487,193475.16286037627,1.0,False,1.2442844662052696e-05,0.19530257673578474,0.0,SPP_design:main_route:initial_climb
4,0.8,22.988949579699657,62.24640053740371,70854.45267341407,79.34693148859202,79.2593976814894,0.233231318957739,1,1.483537997872197,0.12333963954728068,57768.59747073466,193422.72871360285,1.0,False,1.2443550960301312e-05,0.1952293917552086,0.0,SPP_design:main_route:initial_climb
5,1.0,26.067476807741908,77.81431920280068,70853.97130029774,79.3586642215939,79.2593976814894,0.23327391013369492,1,1.4835279189670296,0.12333823117564573,57767.93783159213,193370.3167357368,1.0,False,1.2444257073509893e-05,0.1951562371865971,0.0,SPP_design:main_route:initial_climb
6,1.2,29.14532020504143,93.38476503787962,70853.49003031137,79.37039689790073,79.2593976814894,0.23331650258342673,1,1.483517842221178,0.12333682312183043,57767.278341306854,193317.92691148608,1.0,False,1.244496300172741e-05,0.19508311300904563,0.0,SPP_design:main_route:initial_climb
7,1.4,32.2224798894039,108.95773792124861,70853.00886342177,79.38212951699339,79.2593976814894,0.23335909630486112,1,1.4835077676339494,0.1233354153857276,57766.61899982856,193265.55922557748,1.0,False,1.2445668745002798e-05,0.19501001920167513,0.0,SPP_design:main_route:initial_climb
8,1.5999999999999999,35.298955978521306,124.5332377315018,70852.52779959577,79.39386207835261,79.2593976814894,0.23340169129592386,1,1.4834976952046472,0.12333400796722964,57765.95980710691,193213.21366275553,1.0,False,1.2446374303384959e-05,0.19493695574363135,0.0,SPP_design:main_route:initial_climb
9,1.7999999999999998,38.37474858997213,140.11126434721933,70852.04683880025,79.40559458145854,79.2593976814894,0.23344428755453853,1,1.4834876249325795,0.12333260086622953,57765.30076309174,193160.890207784,1.0,False,1.2447079676922743e-05,0.19486392261408636,0.0,SPP_design:main_route:initial_climb
10,1.9999999999999998,41.44985784122155,155.69181764696702,70851.56598100207,79.41732702579111,79.2593976814894,0.23348688507862753,1,1.4834775568170515,0.12333119408261986,57764.641867732775,193108.5888454445,1.0,False,1.2447784865664974e-05,0.19479091979223714,0.0,SPP_design:main_route:initial_climb
11,2.1999999999999997,44.524283849621646,171.27489750929627,70851.08522616814,79.42905941082975,79.2593976814894,0.23352948386611141,1,1.4834674908573708,0.12332978761629357,57763.98312097984,193056.30956053737,1.0,False,1.244848986966044e-05,0.19471794725730635,0.0,SPP_design:main_route:initial_climb
12,2.4,47.598026732411554,186.8605038127438,70850.60457426538,79.44079173605358,79.2593976814894,0.23357208391490936,1,1.4834574270528451,0.12332838146714357,57763.324522782794,193004.05233788094,1.0,False,1.2449194688957886e-05,0.1946450049885415,0.0,SPP_design:main_route:initial_climb
13,2.6,50.67108660671768,202.4486364358315,70850.12402526072,79.45252400094135,79.2593976814894,0.23361468522293885,1,1.483447365402782,0.12332697563506285,57762.666073091495,192951.81716231233,1.0,False,1.244989932360602e-05,0.19457209296521616,0.0,SPP_design:main_route:initial_climb
14,2.8000000000000003,53.74346358955388,218.03929525706624,70849.64357912113,79.4642562049714,79.2593976814894,0.23365728778811581,1,1.4834373059064878,0.12332557011994419,57762.0077718558,192899.6040186867,1.0,False,1.2450603773653515e-05,0.19449921116662883,0.0,SPP_design:main_route:initial_climb
15,3.0000000000000004,56.815157797821676,233.63248015493966,70849.16323581358,79.47598834762165,79.2593976814894,0.23369989160835442,1,1.4834272485632747,0.12332416492168116,57761.349619025736,192847.4128918776,1.0,False,1.2451308039148998e-05,0.19442635957210327,0.0,SPP_design:main_route:initial_climb
16,3.2000000000000006,59.88616934831041,249.22819100792793,70848.68299530509,79.4877204283698,79.2593976814894,0.2337424966815677,1,1.4834171933724485,0.12332276004016651,57760.69161455119,192795.24376677684,1.0,False,1.2452012120141076e-05,0.19435353816098855,0.0,SPP_design:main_route:initial_climb
17,3.400000000000001,62.95649835769746,264.8264276944917,70848.20285756268,79.49945244669296,79.2593976814894,0.23378510300566657,1,1.4834071403333218,0.12332135547529391,57760.033758382255,192743.0966282945,1.0,False,1.24527160166783e-05,0.19428074691265892,0.0,SPP_design:main_route:initial_climb
18,3.600000000000001,66.02614494254843,280.4271900930757,70847.72282255338,79.51118440206801,79.2593976814894,0.23382771057856067,1,1.483397089445202,0.12331995122695628,57759.37605046886,192690.9714613591,1.0,False,1.2453419728809193e-05,0.19420798580651422,0.0,SPP_design:main_route:initial_climb
19,3.800000000000001,69.09510921931731,296.03047808210874,70847.24289024426,79.52291629397145,79.2593976814894,0.2338703193981581,1,1.4833870407074,0.12331854729504711,57758.71849076112,192638.868250917,1.0,False,1.2454123256582246e-05,0.19413525482197883,0.0,SPP_design:main_route:initial_climb
20,4.000000000000001,72.1633913043467,311.6362915400034,70846.76306060242,79.53464812187931,79.2593976814894,0.23391292946236514,1,1.4833769941192287,0.12331714367946014,57758.06107920917,192586.78698193294,1.0,False,1.24548266000459e-05,0.1940625539385024,0.0,SPP_design:main_route:initial_climb
21,4.200000000000001,75.23099131386802,327.244630345156,70846.28333359495,79.54637988526737,79.2593976814894,0.23395554076908676,1,1.4833669496799968,0.12331574038008848,57757.40381576305,192534.7276393899,1.0,False,1.2455529759248567e-05,0.19398988313556015,0.0,SPP_design:main_route:initial_climb
22,4.400000000000001,78.29790936400161,342.8554943759461,70845.803709189,79.55811158361098,79.2593976814894,0.23399815331622634,1,1.483356907389017,0.1233143373968259,57756.746700372976,192482.69020828872,1.0,False,1.2456232734238625e-05,0.19391724239265154,0.0,SPP_design:main_route:initial_climb
23,4.600000000000001,81.36414557075702,358.4688835107366,70845.3241873517,79.56984321638502,79.2593976814894,0.23404076710168528,1,1.483346867245602,0.12331293472956607,57756.089732989116,192430.67467364896,1.0,False,1.2456935525064404e-05,0.19384463168930216,0.0,SPP_design:main_route:initial_climb
24,4.800000000000002,84.42970005003315,374.08479762787346,70844.8447680502,79.5815747830642,79.2593976814894,0.23408338212336408,1,1.4833368292490627,0.12331153237820253,57755.43291356165,192378.68102050753,1.0,False,1.2457638131774208e-05,0.19377205100506156,0.0,SPP_design:main_route:initial_climb
25,5.000000000000002,87.49457291761843,389.70323660568545,70844.36545125171,79.59330628312264,79.2593976814894,0.23412599837916095,1,1.4833267933987144,0.12331013034262936,57754.77624204092,192326.7092339201,1.0,False,1.2458340554416295e-05,0.19369950031950495,0.0,SPP_design:main_route:initial_climb
26,5.200000000000002,90.55876428919105,405.32420032248405,70843.88623692344,79.60503771603425,79.2593976814894,0.2341686158669731,1,1.483316759693869,0.1233087286227402,57754.11971837715,192274.75929896004,1.0,False,1.2459042793038893e-05,0.19362697961223227,0.0,SPP_design:main_route:initial_climb
27,5.400000000000002,93.6222742803191,420.94768865656323,70843.40712503261,79.6167690812725,79.2593976814894,0.23421123458469592,1,1.4833067281338406,0.12330732721842895,57753.46334252064,192222.8312007188,1.0,False,1.2459744847690195e-05,0.1935544888628684,0.0,SPP_design:main_route:initial_climb
28,5.600000000000002,96.68510300646084,436.5737014861992,70842.92811554647,79.62850037831049,79.2593976814894,0.2342538545302233,1,1.483296698717943,0.1233059261295896,57752.807114421725,192170.92492430584,1.0,False,1.2460446718418346e-05,0.19348202805106307,0.0,SPP_design:main_route:initial_climb
29,5.8000000000000025,99.74725058296475,452.2022386896503,70842.4492084323,79.64023160662096,79.2593976814894,0.23429647570144743,1,1.4832866714454924,0.12330452535611638,57752.15103403086,192119.0404548486,1.0,False,1.246114840527147e-05,0.19340959715649053,0.0,SPP_design:main_route:initial_climb
30,6.000000000000003,102.80871712506988,467.8333001451568,70841.97040365738,79.65196276567626,79.2593976814894,0.23433909809625914,1,1.483276646315802,0.12330312489790314,57751.495101298366,192067.1777774928,1.0,False,1.2461849908297635e-05,0.19333719615885078,0.0,SPP_design:main_route:initial_climb
31,6.200000000000003,105.8695027479059,483.4668857309406,70841.49170118902,79.66369385494839,79.2593976814894,0.2343817217125475,1,1.4832666233281888,0.12330172475484423,57750.839316174715,192015.33687740163,1.0,False,1.2462551227544894e-05,0.1932648250378678,0.0,SPP_design:main_route:initial_climb
32,6.400000000000003,108.92960756649339,499.10299532520526,70841.01310099456,79.67542487390898,79.2593976814894,0.2344243465482002,1,1.4832566024819684,0.12330032492683382,57750.18367861036,191963.51773975653,1.0,False,1.2463252363061244e-05,0.19319248377329057,0.0,SPP_design:main_route:initial_climb
33,6.600000000000003,111.98903169574398,514.7416288061356,70840.53460304135,79.68715582202927,79.2593976814894,0.2344669726011033,1,1.4832465837764575,0.12329892541376633,57749.528188555836,191911.72034975677,1.0,False,1.2463953314894657e-05,0.19312017234489282,0.0,SPP_design:main_route:initial_climb
34,6.800000000000003,115.04777525046052,530.3827860518977,70840.05620729674,79.69888669878016,79.2593976814894,0.23450959986914124,1,1.4832365672109722,0.12329752621553602,57748.872845961625,191859.94469261958,1.0,False,1.246465408309307e-05,0.19304789073247333,0.0,SPP_design:main_route:initial_climb
